Property,Description,Region,Facility
1000,CAMPUS,UMBC,MAIN
851,BIOLOGICAL SCIENCES,UMBC,MAIN
852,ALBIN O. KUHN LIBRARY,UMBC,MAIN
854,LECTURE HALL 1,UMBC,MAIN
855,STUDENT DEVELOPMENT AND SUCCESS CENTER,UMBC,MAIN
856,SONDHEIM HALL,UMBC,MAIN
857,UNIVERSITY CENTER,UMBC,MAIN
858,MEYERHOFF CHEMISTRY BUILDING,UMBC,MAIN
859,LECTURE HALL 2,UMBC,MAIN
860,MATH/PSYCHOLOGY,UMBC,MAIN
861,RETRIEVER ATHLETIC CENTER,UMBC,MAIN
862,CENTRAL PLANT,UMBC,MAIN
863,GREEN HOUSE,UMBC,MAIN
864,ACADEMIC SERVICES,UMBC,MAIN
865,FINE ARTS,UMBC,MAIN
866,ADMINISTRATION,UMBC,MAIN
869,SUSQUEHANNA HALL,UMBC,MAIN
870,DINING HALL,UMBC,MAIN
871,WAREHOUSE,UMBC,MAIN
872,CHESAPEAKE HALL,UMBC,MAIN
873,PATAPSCO HALL,UMBC,MAIN
876,STADIUM,UMBC,MAIN
877,SHERMAN HALL,UMBC,MAIN
878,WEST HILL APARTMENTS,UMBC,MAIN
878_1,WEST HILL-SEVERN,UMBC,MAIN
878_2,WEST HILL-CHESTER,UMBC,MAIN
878_3,WEST HILL-WYE,UMBC,MAIN
878_4,WEST HILL-MAGOTHY,UMBC,MAIN
878_5,WEST HILL-TANGIER,UMBC,MAIN
878_6,WEST HILL-CHOPTANK,UMBC,MAIN
878_7,WEST HILL OFFICE,UMBC,MAIN
879,TERRACE APARTMENTS,UMBC,MAIN
879_1,TERRACE-NANTICOKE,UMBC,MAIN
879_2,TERRACE-GUNPOWDER,UMBC,MAIN
879_3,TERRACE-MONOCACY,UMBC,MAIN
879_4,TERRACE-SASSAFRAS,UMBC,MAIN
879_5,TERRACE-WICOMICO,UMBC,MAIN
879_6,TERRACE-ANTIETAM,UMBC,MAIN
879_7,TERRACE-CHINCOTEAQUE,UMBC,MAIN
879_8,TERRACE-TUCKAHOE,UMBC,MAIN
880,HILLSIDE APARTMENTS,UMBC,MAIN
880_1,HILLSIDE-SIDELING,UMBC,MAIN
880_2,HILLSIDE-POCOMOKE,UMBC,MAIN
880_3,HILLSIDE-MANOKIN,UMBC,MAIN
880_4,HILLSIDE-PATUXENT,UMBC,MAIN
880_5,HILLSIDE-ELK,UMBC,MAIN
880_6,HILSIDE-DEEPCREEK,UMBC,MAIN
880_7,HILLSIDE-CASSELMAN,UMBC,MAIN
880_8,HILLSIDE-BRETON,UMBC,MAIN
883,TECHNOLOGY RESEARCH CENTER,UMBC,MAIN
886,ENGINEERING COMPUTER SCIENCE,UMBC,MAIN
887,TECHNOLOGY 2,UMBC,MAIN
888,POTOMAC HALL,UMBC,MAIN
889,DAY CARE,UMBC,MAIN
890,FACILITIES MANAGEMENT,UMBC,MAIN
892,PHYSICS,UMBC,MAIN
893,ERICKSON HALL,UMBC,MAIN
894,HARBOR HALL,UMBC,MAIN
895,UNIVERSITY COMMONS,UMBC,MAIN
896,SATELLITE PLANT,UMBC,MAIN
897,ITE BUILDING,UMBC,MAIN
898,PUBLIC POLICY,UMBC,MAIN
950,ADMINISTRATION PARKING DECK,UMBC,MAIN
951,COMMONS GARAGE,UMBC,MAIN
952,WALKER AVE. GARAGE,UMBC,MAIN
